GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
FOSL2,ENST00000388920,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,2221,_,0,siUPF1-Up
FOSL2,ENST00000330315,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,1368,_,0,siUPF1-Up
FRMD4A,ENST00000493380,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,879,_,1,siUPF1-Up
FRMD4A,ENST00000357447,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3326,_,8,siUPF1-Up
FRMD4A,ENST00000342409,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,7,_,1,siUPF1-Up
FSD1L,ENST00000394926,Karam et al. 2015; Lykke-Andersen et al. 2014,siUPF1/siUPF3B RNA half-life; SMG6 endonuclease substrates,human HeLa; human HEK-293,319,_,0,siUPF1-Up
FSD1L,ENST00000495708,Karam et al. 2015; Lykke-Andersen et al. 2014,siUPF1/siUPF3B RNA half-life; SMG6 endonuclease substrates,human HeLa; human HEK-293,335,_,1,siUPF1-Up
FSD1L,ENST00000374707,Karam et al. 2015; Lykke-Andersen et al. 2014,siUPF1/siUPF3B RNA half-life; SMG6 endonuclease substrates,human HeLa; human HEK-293,5950,_,0,siUPF1-Up
FSD1L,ENST00000481272,Karam et al. 2015; Lykke-Andersen et al. 2014,siUPF1/siUPF3B RNA half-life; SMG6 endonuclease substrates,human HeLa; human HEK-293,92,_,0,siUPF1-Up
GABARAPL1,ENST00000545887,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,117,_,0,siUPF1-Up
GABARAPL1,ENST00000540424,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1956,619,0,siUPF1-Up
GABARAPL1,ENST00000539408,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,147,97,1,siUPF1-Up
GABARAPL1,ENST00000541453,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,220,98,0,siUPF1-Up
GABARAPL1,ENST00000545047,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,195,_,0,siUPF1-Up
GABARAPL1,ENST00000537201,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,232,211,0,siUPF1-Up
GABARAPL1,ENST00000266458,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1276,_,1,siUPF1-Up
GABARAPL1,ENST00000544284,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,98,_,0,siUPF1-Up
GABARAPL1,ENST00000546017,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1271,_,1,siUPF1-Up
GABARAPL1,ENST00000543602,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,67,_,0,siUPF1-Up
GABARAPL1,ENST00000541960,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,2878,1536,0,siUPF1-Up
GADD45A,ENST00000370986,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015,"siUPF1, CHX, UPF1-CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates ",mouse ES; human HEK-293; human HeLa,564,_,1,siUPF1-Up
GADD45B,ENST00000215631,Huang et al. 2011,siUPF1 RNA half-life,human HeLa,658,_,0,siUPF1-Up
GADD45B,ENST00000585359,Huang et al. 2011,siUPF1 RNA half-life,human HeLa,354,184,0,siUPF1-Up
GAS8,ENST00000565062,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,989,323,0,siUPF1-Up
GOLGA6L4,ENST00000510439,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2776,_,1,siUPF1-Up
GREB1L,ENST00000580732,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2596,_,5,siUPF1-Up
GREB1L,ENST00000424526,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,9,_,3,siUPF1-Up
HACE1,ENST00000369125,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,740,_,0,siUPF1-Up
HACE1,ENST00000416605,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3957,2289,0,siUPF1-Up
HACE1,ENST00000262903,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1569,_,0,siUPF1-Up
HECW1,ENST00000395891,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,4075,_,3,siUPF1-Up
HECW1,ENST00000453890,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,126,_,3,siUPF1-Up
HIVEP3,ENST00000372583,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4086,_,4,siUPF1-Up
HIVEP3,ENST00000247584,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,438,_,4,siUPF1-Up
HIVEP3,ENST00000372584,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4086,_,4,siUPF1-Up
HKR1,ENST00000591417,Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human U2OS,13,_,1,siUPF1-Up
HKR1,ENST00000591259,Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human U2OS,91,_,0,siUPF1-Up
HKR1,ENST00000591134,Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human U2OS,176,_,1,siUPF1-Up
HKR1,ENST00000591471,Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human U2OS,670,_,7,siUPF1-Up
HLA-E,ENST00000415649,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1459,_,0,siUPF1-Up
HLA-E,ENST00000376630,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1459,_,0,siUPF1-Up
HLA-E,ENST00000415289,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1459,_,0,siUPF1-Up
HLA-E,ENST00000427936,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1459,_,0,siUPF1-Up
HLA-E,ENST00000425603,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1459,_,0,siUPF1-Up
HPS1,ENST00000338546,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,384,_,3,siUPF1-Up
HPS1,ENST00000361490,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1366,_,3,siUPF1-Up
ID4,ENST00000378700,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1489,_,0,siUPF1-Up
IER5L,ENST00000372491,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1282,_,1,siUPF1-Up
IFFO2,ENST00000455833,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,4280,_,0,siUPF1-Up
IGHMBP2,ENST00000539224,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,150,_,0,siUPF1-Up
IGHMBP2,ENST00000544541,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,327,287,0,siUPF1-Up
IGHMBP2,ENST00000255078,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,868,_,0,siUPF1-Up
IGHMBP2,ENST00000545146,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,174,126,0,siUPF1-Up
IL6R,ENST00000368485,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,4070,_,1,siUPF1-Up
IL6R,ENST00000344086,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1712,_,1,siUPF1-Up
IRAK4,ENST00000552309,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,710,526,0,siUPF1-Up
IRAK4,ENST00000547521,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,875,859,1,siUPF1-Up
IRAK4,ENST00000550386,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1473,1249,0,siUPF1-Up
IRAK4,ENST00000440781,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,260,_,2,siUPF1-Up
IRAK4,ENST00000547101,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1473,1249,0,siUPF1-Up
IRAK4,ENST00000431837,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2828,_,3,siUPF1-Up
IRAK4,ENST00000551736,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,188,_,0,siUPF1-Up
IRAK4,ENST00000550615,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1089,1018,0,siUPF1-Up
ITFG2,ENST00000540929,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1423,1035,0,siUPF1-Up
ITFG2,ENST00000537851,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1172,759,0,siUPF1-Up
ITGAE,ENST00000263087,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,219,_,0,siUPF1-Up
JUN,ENST00000371222,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1282,_,1,siUPF1-Up
KCTD7,ENST00000443322,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,171,_,0,siUPF1-Up
KCTD7,ENST00000275532,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,3819,_,0,siUPF1-Up
KIF13B,ENST00000524189,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,3225,_,0,siUPF1-Up
KIF13B,ENST00000523968,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1560,1473,0,siUPF1-Up
KIF13B,ENST00000522355,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2354,1671,0,siUPF1-Up
KIF13B,ENST00000521515,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,470,_,0,siUPF1-Up
KLF6,ENST00000497571,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3543,_,0,siUPF1-Up
LAMA5,ENST00000370677,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,146,_,0,siUPF1-Up
LAMA5,ENST00000252999,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,271,_,0,siUPF1-Up
LAMB3,ENST00000356082,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,401,_,0,siUPF1-Up
LAMB3,ENST00000367030,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,294,_,0,siUPF1-Up
LAMB3,ENST00000391911,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,396,_,0,siUPF1-Up
LETMD1,ENST00000547318,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1528,479,0,siUPF1-Up
LETMD1,ENST00000380135,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1109,106,0,siUPF1-Up
LETMD1,ENST00000552739,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,970,_,0,siUPF1-Up
LETMD1,ENST00000547555,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1502,438,0,siUPF1-Up
LETMD1,ENST00000550755,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,320,177,1,siUPF1-Up
LETMD1,ENST00000547008,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,938,_,0,siUPF1-Up
LETMD1,ENST00000262055,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,990,_,0,siUPF1-Up
LETMD1,ENST00000550100,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,999,56,0,siUPF1-Up
LETMD1,ENST00000550929,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,374,_,2,siUPF1-Up
LPIN1,ENST00000396099,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,72,_,3,siUPF1-Up
LPIN1,ENST00000256720,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,2618,_,0,siUPF1-Up
LPIN1,ENST00000404113,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,128,_,0,siUPF1-Up
LPIN1,ENST00000396098,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,19,_,3,siUPF1-Up
LPIN1,ENST00000396097,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1739,_,2,siUPF1-Up
LPIN1,ENST00000449576,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,96,_,0,siUPF1-Up
LRRC37B,ENST00000394713,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,23,_,0,siUPF1-Up
LRRC37B,ENST00000327564,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,176,_,0,siUPF1-Up
LRRC37B,ENST00000578674,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,630,535,0,siUPF1-Up
MAFF,ENST00000407965,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1627,_,1,siUPF1-Up
MAFF,ENST00000426621,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1625,_,0,siUPF1-Up
MAFF,ENST00000538320,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1625,_,0,siUPF1-Up
MAMDC4,ENST00000445819,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,194,_,0,siUPF1-Up
MAMDC4,ENST00000317446,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,194,_,0,siUPF1-Up
MBOAT1,ENST00000324607,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,141,_,4,siUPF1-Up
MCTP1,ENST00000505078,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,905,_,0,siUPF1-Up
MCTP1,ENST00000505208,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,210,_,1,siUPF1-Up
MCTP1,ENST00000429576,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,917,_,1,siUPF1-Up
MPHOSPH9,ENST00000541076,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2592,_,1,siUPF1-Up
MPHOSPH9,ENST00000535049,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,216,163,1,siUPF1-Up
MPHOSPH9,ENST00000606320,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2592,_,1,siUPF1-Up
MTMR10,ENST00000563714,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,516,_,5,siUPF1-Up
MTMR10,ENST00000568604,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,4925,800,0,siUPF1-Up
MTMR10,ENST00000567567,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2188,1324,0,siUPF1-Up
MUS81,ENST00000308110,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,387,_,0,siUPF1-Up
MVK,ENST00000537237,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,868,712,0,siUPF1-Up
MVK,ENST00000447878,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,1297,486,0,siUPF1-Up
MVK,ENST00000539696,Lykke-Andersen et al. 2014; Tani et al. 2012 ,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,100,_,0,siUPF1-Up
MZF1,ENST00000599369,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,139,_,2,siUPF1-Up
MZF1,ENST00000215057,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,139,_,4,siUPF1-Up
MZF1,ENST00000594108,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,64,_,3,siUPF1-Up
NAT9,ENST00000580301,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,1157,_,0,siUPF1-Up
NAT9,ENST00000581136,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,335,_,0,siUPF1-Up
NAT9,ENST00000582524,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,42,_,0,siUPF1-Up
NAT9,ENST00000357814,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,1177,_,0,siUPF1-Up
NAT9,ENST00000583476,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,95,_,0,siUPF1-Up
NAT9,ENST00000583757,Huang et al. 2011; Lykke-Andersen et al. 2014; Wang et al. 2011,siUPF1 RNA half-life; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HEK-293; human U2OS,78,_,0,siUPF1-Up
NBPF1,ENST00000430580,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1624,_,4,siUPF1-Up
NECAB3,ENST00000493590,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,395,276,0,siUPF1-Up
NECAB3,ENST00000246190,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,742,_,0,siUPF1-Up
NECAB3,ENST00000375238,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,742,_,0,siUPF1-Up
NEK6,ENST00000373603,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2360,_,2,siUPF1-Up
NEK6,ENST00000545174,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1491,_,2,siUPF1-Up
NEK6,ENST00000546191,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1491,_,2,siUPF1-Up
NEK6,ENST00000539416,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1491,_,0,siUPF1-Up
NEK6,ENST00000373600,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2360,_,0,siUPF1-Up
NEK6,ENST00000394199,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1491,_,0,siUPF1-Up
NEK6,ENST00000320246,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2360,_,2,siUPF1-Up
NFKBIB,ENST00000392079,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1184,_,2,siUPF1-Up
NFKBIB,ENST00000509705,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,1949,454,0,siUPF1-Up
NFKBIB,ENST00000572515,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,831,_,0,siUPF1-Up
NFKBIB,ENST00000313582,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,54,_,0,siUPF1-Up
NLE1,ENST00000589367,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,604,473,0,siUPF1-Up
NLE1,ENST00000588642,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,294,153,0,siUPF1-Up
NLE1,ENST00000360831,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,366,_,0,siUPF1-Up
NME6,ENST00000451657,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,39,_,0,siUPF1-Up
NME6,ENST00000447314,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,115,_,1,siUPF1-Up
NME6,ENST00000435684,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,11,_,0,siUPF1-Up
NME6,ENST00000415053,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,190,_,0,siUPF1-Up
NME6,ENST00000454531,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,153,62,0,siUPF1-Up
NME6,ENST00000415644,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,440,_,0,siUPF1-Up
NOL3,ENST00000564053,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,431,_,3,siUPF1-Up
NOL3,ENST00000268605,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,667,_,0,siUPF1-Up
NOTCH2NL,ENST00000362074,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,801,_,0,siUPF1-Up
NQO2,ENST00000380430,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,107,_,2,siUPF1-Up
NQO2,ENST00000380441,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,100,_,2,siUPF1-Up
NQO2,ENST00000606474,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,184,_,0,siUPF1-Up
NQO2,ENST00000380455,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,107,_,0,siUPF1-Up
NRG1,ENST00000287842,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,109,_,0,siUPF1-Up
NRG1,ENST00000356819,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,628,_,0,siUPF1-Up
NRG1,ENST00000521670,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,272,_,0,siUPF1-Up
NRG1,ENST00000520407,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,456,_,0,siUPF1-Up
NRG1,ENST00000519301,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3,_,0,siUPF1-Up
NSUN4,ENST00000307089,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,3850,267,0,siUPF1-Up
NSUN4,ENST00000474844,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,345,_,0,siUPF1-Up
NT5C2,ENST00000343289,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3489,_,0,siUPF1-Up
NT5C2,ENST00000461461,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,626,559,0,siUPF1-Up
NT5C2,ENST00000404739,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1655,_,0,siUPF1-Up
OBSCN,ENST00000570156,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,81,_,0,siUPF1-Up
OBSCN,ENST00000366707,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,79,_,0,siUPF1-Up
OBSCN,ENST00000284548,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,495,_,0,siUPF1-Up
ORAOV1,ENST00000279147,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,1956,_,0,siUPF1-Up
ORAOV1,ENST00000536870,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,1953,_,0,siUPF1-Up
ORAOV1,ENST00000535657,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,213,_,0,siUPF1-Up
ORAOV1,ENST00000535542,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,774,450,0,siUPF1-Up
ORAOV1,ENST00000441922,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,138,61,0,siUPF1-Up
ORAOV1,ENST00000542341,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,367,_,0,siUPF1-Up
ORAOV1,ENST00000539414,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,359,_,0,siUPF1-Up
ORAOV1,ENST00000543562,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,201,107,0,siUPF1-Up
OSBPL6,ENST00000190611,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3874,_,2,siUPF1-Up
OSBPL6,ENST00000357080,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,165,_,2,siUPF1-Up
OSBPL6,ENST00000409631,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,226,_,2,siUPF1-Up
OSBPL6,ENST00000315022,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,62,_,1,siUPF1-Up
OSBPL6,ENST00000409045,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,213,_,2,siUPF1-Up
PALLD,ENST00000261509,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2277,_,0,siUPF1-Up
PALLD,ENST00000512127,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,102,_,0,siUPF1-Up
PALLD,ENST00000507735,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2060,_,1,siUPF1-Up
PARP6,ENST00000287196,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,273,_,1,siUPF1-Up
